col_name|label
创建时间|创建时间
单据状态2|单据状态2
结算状态|结算状态
发货状态|发货状态
客户id|客户id
经手人id|经手人id
经手人编码|经手人编码
金额|金额
商品组合|商品组合
商品数量|商品数量
折前价税合计|折前价税合计
整单折扣额|整单折扣额
商品分录|商品分录
物流信息分录|物流信息分录
开票状态|开票状态
联系人电话|联系人电话
联系人国家id|联系人国家id
联系人国家名称|联系人国家名称
联系人国家编码|联系人国家编码
联系人省份id|联系人省份id
联系人省份名称|联系人省份名称
联系人省份编码|联系人省份编码
联系人市区id|联系人市区id
联系人市区名称|联系人市区名称
联系人市区编码|联系人市区编码
联系人区县id|联系人区县id
联系人区县名称|联系人区县名称
联系人区县编码|联系人区县编码
联系人|联系人
联系信息|联系信息
联系地址|联系地址
发货国家id|发货国家id
发货国家名称|发货国家名称
发货国家编码|发货国家编码
发货省份id|发货省份id
发货省份名称|发货省份名称
发货省份编码|发货省份编码
发货市区id|发货市区id
发货市区名称|发货市区名称
发货市区编码|发货市区编码
发货区县id|发货区县id
发货区县名称|发货区县名称
发货区县编码|发货区县编码
发货地址|发货地址
发货人2|发货人2
发货电话|发货电话
发货方式|发货方式
付款信息分录|付款信息分录
抵扣余额|抵扣余额
未结算金额|未结算金额
附件|附件
附件地址|附件地址
审核人id|审核人id
审核人2|审核人2
审核人编码|审核人编码
审核时间2|审核时间2
应收款余额|应收款余额
物流公司id|物流公司id
采购费用|采购费用
费用分摊信息|费用分摊信息
上次欠款|上次欠款
交易类型|交易类型
部门id|部门id
部门2|部门2
部门编码|部门编码
整单折扣率%|整单折扣率%
修改时间|修改时间
出入库状态|出入库状态
创建人id|创建人id
创建人|创建人
创建人编码|创建人编码
修改人id|修改人id
修改人|修改人
修改人编码|修改人编码
单据标签|单据标签
客户承担费用分录|客户承担费用分录
交货方式id|交货方式id
交货方式|交货方式
交货方式编码|交货方式编码
币种id|币种id
到期日|到期日
结算期限id|结算期限id
结算期限编码|结算期限编码
结算期限|结算期限
配送路线分录|配送路线分录
采购费用分录|采购费用分录
币别名称|币别名称
