tables=410 withDesc=409
address	位置信息
area_city	省份城市
area_code	省市区代码
area_country	区域国家
area_district	城市区域
area_province	中国省份
bacord	条码
bd_account	会计科目档案
bd_dispatch	工序派工单头表(经典遗留面板)
bd_expense_type	费用类别档案
bd_finish_in	产成品入库单头表(切炭双出口直销自动生成并审核)
bd_manu_order	生产加工单头表(经典遗留面板)
bd_material_out	材料出库单(领料)头表
bd_other_in	其他入库单头表
bd_other_out	其他出库单头表
bd_outsource_in	委外入库单头表
bd_outsource_issue	委外发料单头表
bd_outsource_order	委外加工单头表
bd_pu_order	采购订单头表
bd_pu_req	请购单头表
bd_purchase_in	采购入库单头表(审核过账kucun入库)
bd_sale_out	销售出库单头表(审核过账kucun出库)
bd_so_order	销售订单头表(星辰ERP同步)
bd_tax_type	税别档案
bl_dispatch	工序派工单行表(经典遗留面板)
bl_finish_in	产成品入库单行表(负数量=红字冲回)
bl_manu_order	生产加工单行表(经典遗留面板)
bl_material_out	材料出库单(领料)行表(BOM展开生成)
bl_other_in	其他入库单行表
bl_other_out	其他出库单行表
bl_outsource_in	委外入库单行表
bl_outsource_issue	委外发料单行表
bl_outsource_order	委外加工单行表
bl_pu_order	采购订单行表
bl_pu_req	请购单行表
bl_purchase_in	采购入库单行表(批号三键入库)
bl_sale_out	销售出库单行表(批号三键出库)
bl_so_order	销售订单行表(星辰ERP同步)
bs_bom	物料清单BOM(父件-子件-定额数量,默认BOM标志)
bs_dept	部门档案(遗留,组织架构用yj_dept)
bs_dict	数据字典
bs_emp	员工档案(遗留,组织架构用yj_user)
bs_equip	设备档案(设备点检/保养计划参照源)
bs_inv	存货档案(物料/产品主数据,含是否检验标志)
bs_inv_price	存货价格本
bs_op	工序档案(五道工序:混料/成型/切炭/组装/装箱)
bs_partner	往来单位档案
bs_proj	项目档案
bs_qc_item	检验项目档案(检验内容/标准/判定规则)
bs_qc_plan	检验方案(适用存货/检验方式/抽检比例)
bs_region	地区档案
bs_reject	不合格原因档案
bs_route	工艺路线(工序顺序/加工方式)
bs_team	班组档案
bs_uom	计量单位档案
bs_wc	工作中心档案
bs_wh	仓库档案(仓库编码/名称,库存台账仓库真源)
bxsq	报销申请
cbhs	成本核算
chdcmx	出货订舱明细
chsq	出货申请
chtz	出货通知
computer	电脑ID
cp_barcode	产品出厂条码
cpfpmx	次品废品明细
day_report	生产日报表头表(自制物料/成型/切炭/组装四车间合一)
day_report_detail	生产日报表行表(姓名/时间/产品/数量/报废等)
dh	质检项目设定
dm_ck	仓库代码
dm_dbzsd	线组长设定（作废不用,并入dm_gx）
dm_fylb	费用类别
dm_gf	厂商代码
dm_gfjj	厂商进价
dm_gx	工序及数据字典
dm_gz	工种
dm_jjlb	奖金类别
dm_key	各种软件接口Key值表
dm_kh	客户代码
dm_khgjjl	客户跟进记录
dm_khlxr	客户联系人
dm_khsj	客户售价设定
dm_khzl	客户款号资料
dm_ks	科室/部门
dm_langue	语言（作废）
dm_myjj	名言惊句
dm_py	拼音码(遗留)
dm_style	形体代码
dm_sys	系统表
dm_tax	税别代码
dm_wz	物料代码
dm_wzbacord	货品多条码
dm_wzddw	货品多单位
dm_wzlb	物料类别
dm_wzsx	物料属性(遗留)
dm_xl	学历
dm_yh	银行代码
dm_ywy	员工编码
dm_ywylb	员工类别
dm_zjfl	质检分类
dm_zw	职务
dorder	请购单
dtproperties	
equip_check	设备点检记录头表
equip_check_detail	设备点检记录行表(检查内容/方法/标准/结果/解决措施)
